Name	Ordinal
NtLoadDriver	214
NtLoadKey	215
NtLockFile	216
NtMakePermanentObject	217
NtMakeTemporaryObject	218
NtMapUserPhysicalPages	219
NtMapViewOfSection	220
NtNotifyChangeDirectoryFile	221
NtNotifyChangeKey	222
NtOpenDirectoryObject	223
NtOpenEvent	224
NtOpenFile	225
NtOpenIoCompletion	226
NtOpenJobObject	227
NtOpenKey	228
NtOpenKeyEx	229
NtOpenKeyedEvent	230
NtOpenMutant	231
NtOpenProcess	232
NtOpenSection	233
NtOpenSemaphore	234
NtOpenSymbolicLinkObject	235
NtOpenThread	236
NtOpenTimer	237
NtPlugPlayControl	238
NtPowerInformation	239
NtProtectVirtualMemory	240
NtPulseEvent	241
NtQueryAttributesFile	242
NtQueryDebugFilterState	243
NtQueryDefaultLocale	244
NtQueryDirectoryFile	245
NtQueryDirectoryObject	246
NtQueryEvent	247
NtQueryFullAttributesFile	248
NtQueryInformationFile	249
NtQueryInformationJobObject	250
NtQueryInformationProcess	251
NtQueryInformationThread	252
NtQueryInformationToken	253
NtQueryInformationWorkerFactory	254
NtQueryInstallUILanguage	255
NtQueryIntervalProfile	256
NtQueryIoCompletion	257
NtQueryKey	258
NtQueryMutant	259
NtQueryObject	260
NtQueryPerformanceCounter	261
NtQuerySection	262
NtQuerySemaphore	263
NtQuerySymbolicLinkObject	264
NtQuerySystemInformation	265
NtQuerySystemInformationEx	266
NtQuerySystemTime	267
NtQueryTimer	268
NtQueryTimerResolution	269
NtQueryUserPhysicalPages	270
NtQueryValueKey	271
NtQueryVirtualMemory	272
NtQueryVolumeInformationFile	273
NtQueueApcThread	274
NtQueueApcThreadEx	275
NtRaiseException	276
NtReadFile	277
NtReadFileScatter	278
NtReadVirtualMemory	279
NtRegisterThreadTerminatePort	280
NtReleaseKeyedEvent	281
NtReleaseMutant	282
NtReleaseSemaphore	283
NtReleaseWorkerFactoryWorker	284
NtRemoveIoCompletion	285
NtRemoveIoCompletionEx	286
NtRemoveProcessDebug	287
NtResetEvent	288
NtResumeProcess	289
NtResumeThread	290
NtSerializeBoot	291
NtSetContextThread	292
NtSetDebugFilterState	293
NtSetEvent	294
NtSetEventBoostPriority	295
NtSetInformationDebugObject	296
NtSetInformationFile	297
NtSetInformationJobObject	298
NtSetInformationObject	299
NtSetInformationProcess	300
NtSetInformationThread	301
NtSetInformationWorkerFactory	302
NtSetIntervalProfile	303
NtSetIoCompletion	304
NtSetIoCompletionEx	305
NtSetSystemInformation	306
NtSetSystemTime	307
NtSetTimer	308
NtSetTimerEx	309
NtSetTimerResolution	310
NtSetUuidSeed	311
NtSetValueKey	312
NtSetVolumeInformationFile	313
NtShutdownSystem	314
NtShutdownWorkerFactory	315
NtSignalAndWaitForSingleObject	316
NtSuspendProcess	317
NtSuspendThread	318
NtSystemDebugControl	319
NtTerminateJobObject	320
NtTerminateProcess	321
NtTerminateThread	322
NtTestAlert	323
NtTraceControl	324
NtTraceEvent	325
NtUnloadDriver	326
NtUnloadKey	327
NtUnlockFile	328
NtUnmapViewOfSection	329
NtWaitForAlertByThreadId	330
NtWaitForDebugEvent	331
NtWaitForKeyedEvent	332
NtWaitForMultipleObjects	333
NtWaitForSingleObject	334
NtWaitForWorkViaWorkerFactory	335
NtWorkerFactoryWorkerReady	336
NtWriteFile	337
NtWriteFileGather	338
NtWriteVirtualMemory	339
NtYieldExecution	340
RtlAcquirePebLock	341
RtlAcquireReleaseSRWLockExclusive	342
RtlAcquireResourceExclusive	343
RtlAcquireResourceShared	344
RtlAcquireSRWLockExclusive	345
RtlAcquireSRWLockShared	346
RtlAddFunctionTable	347
RtlAddGrowableFunctionTable	348
RtlAddVectoredContinueHandler	349
RtlAddVectoredExceptionHandler	350
RtlAllocateHandle	351
RtlAllocateHeap	352
RtlAllocateMemoryBlockLookaside	353
RtlAllocateMemoryZone	354
RtlAnsiCharToUnicodeChar	355
RtlAnsiStringToUnicodeSize	356
RtlAnsiStringToUnicodeString	357
RtlAppendAsciizToString	358
RtlAppendStringToString	359
RtlAppendUnicodeStringToString	360
RtlAppendUnicodeToString	361
RtlApplicationVerifierStop	362
RtlAreBitsClear	363
RtlAreBitsSet	364
RtlAssert	365
RtlAvlInsertNodeEx	366
RtlAvlRemoveNode	367
RtlBarrier	368
RtlBarrierForDelete	369
RtlCanonicalizeDomainName	370
RtlCaptureContext	371
RtlCaptureStackBackTrace	372
RtlCharToInteger	373
RtlCheckForOrphanedCriticalSections	374
RtlCheckRegistryKey	375
RtlClearAllBits	376
RtlClearBit	377
RtlClearBits	378
RtlCloneUserProcess	379
RtlCommitDebugInfo	380
RtlCompactHeap	381
RtlCompareMemory	382
RtlCompareMemoryUlong	383
RtlCompareString	384
RtlCompareUnicodeString	385
RtlCompareUnicodeStrings	386
RtlCompleteProcessCloning	387
RtlCompressBuffer	388
RtlComputeCrc32	389
RtlComputePrivatizedDllName_U	390
RtlContractHashTable	391
RtlConvertExclusiveToShared	392
RtlConvertSharedToExclusive	393
RtlCopyBitMap	394
RtlCopyContext	395
RtlCopyExtendedContext	396
RtlCopyMemory	397
RtlCopyMemoryNonTemporal	398
RtlCopyString	399
RtlCopyUnicodeString	400
RtlCrc32	401
RtlCrc64	402
RtlCreateEnvironment	403
RtlCreateEnvironmentEx	404
RtlCreateHashTable	405
RtlCreateHeap	406
RtlCreateMemoryBlockLookaside	407
RtlCreateMemoryZone	408
RtlCreateProcessParameters	409
RtlCreateProcessParametersEx	410
RtlCreateQueryDebugBuffer	411
RtlCreateRegistryKey	412
RtlCreateTagHeap	413
RtlCreateTimer	414
RtlCreateTimerQueue	415
RtlCreateUnicodeString	416
RtlCreateUnicodeStringFromAsciiz	417
RtlCreateUserProcess	418
RtlCreateUserProcessInJob	419
RtlCreateUserStack	420
RtlCreateUserThread	421
RtlCutoverTimeToSystemTime	422
RtlDeCommitDebugInfo	423
RtlDeNormalizeProcessParams	424
RtlDecodePointer	425
RtlDecodeSystemPointer	426
RtlDecompressBuffer	427
RtlDecompressBufferEx	428
RtlDecompressFragment	429
RtlDelete	430
RtlDeleteBarrier	431
RtlDeleteCriticalSection	432
RtlDeleteElementGenericTable	433
RtlDeleteElementGenericTableAvl	434
RtlDeleteElementGenericTableAvlEx	435
RtlDeleteFunctionTable	436
RtlDeleteGrowableFunctionTable	437
RtlDeleteHashTable	438
RtlDeleteNoSplay	439
RtlDeleteRegistryValue	440
RtlDeleteResource	441
RtlDeleteTimer	442
RtlDeleteTimerQueue	443
RtlDeleteTimerQueueEx	444
RtlDeregisterSecureMemoryCacheCallback	445
RtlDeregisterWait	446
RtlDeregisterWaitEx	447
RtlDestroyEnvironment	448
RtlDestroyHandleTable	449
RtlDestroyHeap	450
RtlDestroyMemoryBlockLookaside	451
RtlDestroyMemoryZone	452
RtlDestroyProcessParameters	453
RtlDestroyQueryDebugBuffer	454
RtlDetectHeapLeaks	455
RtlDetermineDosPathNameType_U	456
RtlDisableThreadProfiling	457
RtlDllShutdownInProgress	458
RtlDoesFileExists_U	459
RtlDosPathNameToNtPathName_U	460
RtlDosPathNameToNtPathName_U_WithStatus	461
RtlDosPathNameToRelativeNtPathName_U	462
RtlDosPathNameToRelativeNtPathName_U_WithStatus	463
RtlDosSearchPath_U	464
RtlDosSearchPath_Ustr	465
RtlDowncaseUnicodeChar	466
RtlDowncaseUnicodeString	467
RtlDumpResource	468
RtlDuplicateUnicodeString	469
RtlEnableThreadProfiling	470
RtlEncodePointer	471
RtlEncodeSystemPointer	472
RtlEndEnumerationHashTable	473
RtlEndWeakEnumerationHashTable	474
RtlEnterCriticalSection	475
RtlEnumProcessHeaps	476
RtlEnumerateEntryHashTable	477
RtlEnumerateGenericTable	478
RtlEnumerateGenericTableAvl	479
RtlEnumerateGenericTableLikeADirectory	480
RtlEnumerateGenericTableWithoutSplaying	481
RtlEnumerateGenericTableWithoutSplayingAvl	482
RtlEqualComputerName	483
RtlEqualDomainName	484
RtlEqualString	485
RtlEqualUnicodeString	486
RtlEthernetAddressToStringA	487
RtlEthernetAddressToStringW	488
RtlEthernetStringToAddressA	489
RtlEthernetStringToAddressW	490
RtlExitUserProcess	491
RtlExitUserThread	492
RtlExpandEnvironmentStrings	493
RtlExpandEnvironmentStrings_U	494
RtlExpandHashTable	495
RtlExtendMemoryBlockLookaside	496
RtlExtendMemoryZone	497
RtlExtractBitMap	498
RtlFillMemory	499
RtlFillMemoryNonTemporal	500
RtlFindCharInUnicodeString	501
RtlFindClearBits	502
RtlFindClearBitsAndSet	503
RtlFindClearRuns	504
RtlFindLastBackwardRunClear	505
RtlFindLeastSignificantBit	506
RtlFindLongestRunClear	507
RtlFindMessage	508
RtlFindMostSignificantBit	509
RtlFindNextForwardRunClear	510
RtlFindSetBits	511
RtlFindSetBitsAndClear	512
RtlFirstEntrySList	513
RtlFlsAlloc	514
RtlFlsFree	515
RtlFlushHeaps	516
RtlFlushSecureMemoryCache	517
RtlFormatMessage	518
RtlFormatMessageEx	519
RtlFreeAnsiString	520
RtlFreeHandle	521
RtlFreeHeap	522
RtlFreeMemoryBlockLookaside	523
RtlFreeUnicodeString	524
RtlFreeUserStack	525
RtlGUIDFromString	526
RtlGetCallersAddress	527
RtlGetCompressionWorkSpaceSize	528
RtlGetCriticalSectionRecursionCount	529
RtlGetCurrentDirectory_U	530
RtlGetCurrentPeb	531
RtlGetCurrentProcessorNumber	532
RtlGetCurrentProcessorNumberEx	533
RtlGetDevkitInitializationData	534
RtlGetElementGenericTable	535
RtlGetElementGenericTableAvl	536
RtlGetEnabledExtendedFeatures	537
RtlGetExePath	538
RtlGetExtendedContextLength	539
RtlGetExtendedFeaturesMask	540
RtlGetFullPathName_U	541
RtlGetFullPathName_UEx	542
RtlGetFullPathName_UstrEx	543
RtlGetFunctionTableListHead	544
RtlGetLastNtStatus	545
RtlGetLastWin32Error	546
RtlGetLocaleFileMappingAddress	547
RtlGetLongestNtPathLength	548
RtlGetNextEntryHashTable	549
RtlGetNtGlobalFlags	550
RtlGetNtVersionNumbers	551
RtlGetParentLocaleName	552
RtlGetProcessHeaps	553
RtlGetSearchPath	554
RtlGetSystemTimePrecise	555
RtlGetThreadErrorMode	556
RtlGetUnloadEventTrace	557
RtlGetUnloadEventTraceEx	558
RtlGetUserInfoHeap	559
RtlGetVersion	560
RtlGrowFunctionTable	561
RtlHashUnicodeString	562
RtlHeapTrkInitialize	563
RtlIdnToAscii	564
RtlIdnToNameprepUnicode	565
RtlIdnToUnicode	566
RtlImageDirectoryEntryToData	567
RtlImageNtHeader	568
RtlImageNtHeaderEx	569
RtlImageRvaToSection	570
RtlImageRvaToVa	571
RtlInitAnsiString	572
RtlInitAnsiStringEx	573
RtlInitBarrier	574
RtlInitCodePageTable	575
RtlInitEnumerationHashTable	576
RtlInitNlsTables	577
RtlInitString	578
RtlInitUnicodeString	579
RtlInitUnicodeStringEx	580
RtlInitWeakEnumerationHashTable	581
RtlInitializeBitMap	582
RtlInitializeConditionVariable	583
RtlInitializeCriticalSection	584
RtlInitializeCriticalSectionAndSpinCount	585
RtlInitializeCriticalSectionEx	586
RtlInitializeExtendedContext	587
RtlInitializeGenericTable	588
RtlInitializeGenericTableAvl	589
RtlInitializeHandleTable	590
RtlInitializeResource	591
RtlInitializeSListHead	592
RtlInitializeSRWLock	593
RtlInsertElementGenericTable	594
RtlInsertElementGenericTableAvl	595
RtlInsertElementGenericTableFull	596
RtlInsertElementGenericTableFullAvl	597
RtlInsertEntryHashTable	598
RtlInstallFunctionTableCallback	599
RtlInt64ToUnicodeString	600
RtlIntegerToChar	601
RtlIntegerToUnicodeString	602
RtlInterlockedClearBitRun	603
RtlInterlockedFlushSList	604
RtlInterlockedPopEntrySList	605
RtlInterlockedPushEntrySList	606
RtlInterlockedPushListSList	607
RtlInterlockedPushListSListEx	608
RtlInterlockedSetBitRun	609
RtlIpv4AddressToStringA	610
RtlIpv4AddressToStringExA	611
RtlIpv4AddressToStringExW	612
RtlIpv4AddressToStringW	613
RtlIpv4StringToAddressA	614
RtlIpv4StringToAddressExA	615
RtlIpv4StringToAddressExW	616
RtlIpv4StringToAddressW	617
RtlIpv6AddressToStringA	618
RtlIpv6AddressToStringExA	619
RtlIpv6AddressToStringExW	620
RtlIpv6AddressToStringW	621
RtlIpv6StringToAddressA	622
RtlIpv6StringToAddressExA	623
RtlIpv6StringToAddressExW	624
RtlIpv6StringToAddressW	625
RtlIsCriticalSectionLocked	626
RtlIsCriticalSectionLockedByThread	627
RtlIsCurrentThreadAttachExempt	628
RtlIsDosDeviceName_U	629
RtlIsGenericTableEmpty	630
RtlIsGenericTableEmptyAvl	631
RtlIsNormalizedString	632
RtlIsTextUnicode	633
RtlIsThreadWithinLoaderCallout	634
RtlIsValidHandle	635
RtlIsValidIndexHandle	636
RtlIsValidLocaleName	637
RtlKnownExceptionFilter	638
RtlLargeIntegerToChar	639
RtlLcidToLocaleName	640
RtlLeaveCriticalSection	641
RtlLoadString	642
RtlLocalTimeToSystemTime	643
RtlLocaleNameToLcid	644
RtlLocateExtendedFeature	645
RtlLocateLegacyContext	646
RtlLockHeap	647
RtlLogStackBackTrace	648
RtlLookupElementGenericTable	649
RtlLookupElementGenericTableAvl	650
RtlLookupElementGenericTableFull	651
RtlLookupElementGenericTableFullAvl	652
RtlLookupEntryHashTable	653
RtlLookupFunctionEntry	654
RtlLookupFunctionTable	655
RtlMoveMemory	656
RtlMultiByteToUnicodeN	657
RtlMultiByteToUnicodeSize	658
RtlNormalizeProcessParams	659
RtlNormalizeString	660
RtlNtStatusToDosError	661
RtlNtStatusToDosErrorNoTeb	662
RtlNumberGenericTableElements	663
RtlNumberGenericTableElementsAvl	664
RtlNumberOfClearBits	665
RtlNumberOfClearBitsInRange	666
RtlNumberOfSetBits	667
RtlNumberOfSetBitsInRange	668
RtlNumberOfSetBitsUlongPtr	669
RtlOpenCurrentUser	670
RtlPcToFileHeader	671
RtlPrefixString	672
RtlPrefixUnicodeString	673
RtlPrepareForProcessCloning	674
RtlProcessFlsData	675
RtlProtectHeap	676
RtlQueryCriticalSectionOwner	677
