Name	Ordinal
HeapFree	256
HeapLock	257
HeapQueryInformation	258
HeapReAlloc	259
HeapSetInformation	260
HeapSize	261
HeapUnlock	262
HeapValidate	263
HeapWalk	264
InitOnceBeginInitialize	265
InitOnceComplete	266
InitOnceExecuteOnce	267
InitOnceInitialize	268
InitializeConditionVariable	269
InitializeContext	270
InitializeCriticalSection	271
InitializeCriticalSectionAndSpinCount	272
InitializeCriticalSectionEx	273
InitializeProcThreadAttributeList	274
InitializeSListHead	275
InitializeSRWLock	276
InitializeSynchronizationBarrier	277
InterlockedFlushSList	278
InterlockedPopEntrySList	279
InterlockedPushEntrySList	280
InterlockedPushListSList	281
InterlockedPushListSListEx	282
IsDebuggerPresent	283
IsProcessorFeaturePresent	284
IsThreadAFiber	285
IsThreadpoolTimerSet	286
IsValidCodePage	287
IsValidLocale	288
IsValidLocaleName	289
JobTitleMemoryStatus	290
LCMapStringEx	291
LCMapStringW	292
LeaveCriticalSection	293
LeaveCriticalSectionWhenCallbackReturns	294
LoadLibraryExA	295
LoadLibraryExW	296
LoadLibraryW	297
LoadPackagedLibrary	298
LoadResource	299
LoadStringW	300
LocalAlloc	301
LocalFileTimeToFileTime	302
LocalFree	303
LocaleNameToLCID	304
LocateXStateFeature	305
LockFile	306
LockFileEx	307
LockResource	308
MapTitlePhysicalPages	309
MapViewOfFileEx	310
MoveFileExW	311
MulDiv	312
MultiByteToWideChar	313
NlsUpdateLocale	314
OpenEventA	315
OpenEventW	316
OpenFileMappingW	317
OpenJobObjectW	318
OpenMutexA	319
OpenMutexW	320
OpenProcess	321
OpenSemaphoreA	322
OpenSemaphoreW	323
OpenThread	324
OpenWaitableTimerA	325
OpenWaitableTimerW	326
OutputDebugStringA	327
OutputDebugStringW	328
PeekConsoleInputA	329
PeekNamedPipe	330
PostQueuedCompletionStatus	331
QueryDepthSList	332
QueryPerformanceCounter	333
QueryPerformanceFrequency	334
QueryProcessorSchedulingStatistics	335
QueryThreadpoolStackInformation	336
QueueUserAPC	337
QueueUserWorkItem	338
RaiseException	339
RaiseFailFastException	340
ReadConsoleInputA	341
ReadConsoleInputW	342
ReadConsoleW	343
ReadFile	344
ReadFileEx	345
ReadFileScatter	346
ReadProcessMemory	347
RegCloseKey	348
RegCreateKeyExW	349
RegCreateKeyW	350
RegDeleteKeyExW	351
RegDeleteKeyW	352
RegDeleteValueW	353
RegEnumKeyExW	354
RegEnumKeyW	355
RegEnumValueW	356
RegOpenKeyExW	357
RegOpenKeyW	358
RegQueryInfoKeyW	359
RegQueryValueExW	360
RegSetValueExW	361
RegisterTraceGuidsW	362
RegisterWaitForSingleObject	363
ReleaseMutex	364
ReleaseMutexWhenCallbackReturns	365
ReleaseSRWLockExclusive	366
